savol,modda_num,modda_text
Ish beruvchi mehnat jarayonini qanday tashkil qilishi kerak?,mehnat kodeksi 2-modda,"Ushbu Kodeksning asosiy vazifalari quyidagilardan iborat:
- xodimlar mehnat huquqlari va erkinliklarining, shu jumladan mehnat qilishga, erkin ish tanlashga, adolatli va xavfsiz mehnat sharoitlariga hamda ishsizlikdan himoyalanishga bo‘lgan huquqining davlat kafolatlarini belgilash;
- ish beruvchilarning kadrlarni tanlash, joy-joyiga qo‘yish va samarali mehnat jarayonini tashkil etish sohasidagi huquqlari amalga oshirilishini ta’minlash;
- mehnat sohasida ijtimoiy sheriklikni rag‘batlantirish va rivojlantirish;
- xodimlar va ish beruvchilarning huquqlari hamda qonuniy manfaatlari himoya qilinishini ta’minlash;
- mehnat bozorining samarali faoliyat ko‘rsatishiga ko‘maklashish."
Mehnat munosabatlarida davlat aralashadimi?,mehnat kodeksi 2-modda,"Ushbu Kodeksning asosiy vazifalari quyidagilardan iborat:
- xodimlar mehnat huquqlari va erkinliklarining, shu jumladan mehnat qilishga, erkin ish tanlashga, adolatli va xavfsiz mehnat sharoitlariga hamda ishsizlikdan himoyalanishga bo‘lgan huquqining davlat kafolatlarini belgilash;
- ish beruvchilarning kadrlarni tanlash, joy-joyiga qo‘yish va samarali mehnat jarayonini tashkil etish sohasidagi huquqlari amalga oshirilishini ta’minlash;
- mehnat sohasida ijtimoiy sheriklikni rag‘batlantirish va rivojlantirish;
- xodimlar va ish beruvchilarning huquqlari hamda qonuniy manfaatlari himoya qilinishini ta’minlash;
- mehnat bozorining samarali faoliyat ko‘rsatishiga ko‘maklashish."
Ishga kirishda erkinlik bormi?,mehnat kodeksi 2-modda,"Ushbu Kodeksning asosiy vazifalari quyidagilardan iborat:
- xodimlar mehnat huquqlari va erkinliklarining, shu jumladan mehnat qilishga, erkin ish tanlashga, adolatli va xavfsiz mehnat sharoitlariga hamda ishsizlikdan himoyalanishga bo‘lgan huquqining davlat kafolatlarini belgilash;
- ish beruvchilarning kadrlarni tanlash, joy-joyiga qo‘yish va samarali mehnat jarayonini tashkil etish sohasidagi huquqlari amalga oshirilishini ta’minlash;
- mehnat sohasida ijtimoiy sheriklikni rag‘batlantirish va rivojlantirish;
- xodimlar va ish beruvchilarning huquqlari hamda qonuniy manfaatlari himoya qilinishini ta’minlash;
- mehnat bozorining samarali faoliyat ko‘rsatishiga ko‘maklashish."
Mehnat huquqlari tengligi nima degani?,mehnat kodeksi 3-modda,"Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari
Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari quyidagilardan iborat:
mehnat huquqlarining tengligi, mehnat va mashg‘ulotlar sohasida kamsitishni taqiqlash;
mehnat erkinligi va majburiy mehnatni taqiqlash;
mehnat sohasidagi ijtimoiy sheriklik;
mehnat huquqlari ta’minlanishining va mehnat majburiyatlari bajarilishining kafolatlanganligi;
xodimning huquqiy holati yomonlashishiga yo‘l qo‘yilmasligi"
Kamsitishga qarshi qanday chora ko‘rilgan?,mehnat kodeksi 3-modda,"Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari
Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari quyidagilardan iborat:
mehnat huquqlarining tengligi, mehnat va mashg‘ulotlar sohasida kamsitishni taqiqlash;
mehnat erkinligi va majburiy mehnatni taqiqlash;
mehnat sohasidagi ijtimoiy sheriklik;
mehnat huquqlari ta’minlanishining va mehnat majburiyatlari bajarilishining kafolatlanganligi;
xodimning huquqiy holati yomonlashishiga yo‘l qo‘yilmasligi"
Mehnat va mashg‘ulotlar sohasida kamsitish taqiqlanganmi?,mehnat kodeksi 3-modda,"Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari
Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari quyidagilardan iborat:
mehnat huquqlarining tengligi, mehnat va mashg‘ulotlar sohasida kamsitishni taqiqlash;
mehnat erkinligi va majburiy mehnatni taqiqlash;
mehnat sohasidagi ijtimoiy sheriklik;
mehnat huquqlari ta’minlanishining va mehnat majburiyatlari bajarilishining kafolatlanganligi;
xodimning huquqiy holati yomonlashishiga yo‘l qo‘yilmasligi"
Mehnat erkinligi tushunchasi nimani anglatadi?,mehnat kodeksi 3-modda,"Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari
Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari quyidagilardan iborat:
mehnat huquqlarining tengligi, mehnat va mashg‘ulotlar sohasida kamsitishni taqiqlash;
mehnat erkinligi va majburiy mehnatni taqiqlash;
mehnat sohasidagi ijtimoiy sheriklik;
mehnat huquqlari ta’minlanishining va mehnat majburiyatlari bajarilishining kafolatlanganligi;
xodimning huquqiy holati yomonlashishiga yo‘l qo‘yilmasligi"
Majburiy mehnat nima va u taqiqlanganmi?,mehnat kodeksi 3-modda,"Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari
Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari quyidagilardan iborat:
mehnat huquqlarining tengligi, mehnat va mashg‘ulotlar sohasida kamsitishni taqiqlash;
mehnat erkinligi va majburiy mehnatni taqiqlash;
mehnat sohasidagi ijtimoiy sheriklik;
mehnat huquqlari ta’minlanishining va mehnat majburiyatlari bajarilishining kafolatlanganligi;
xodimning huquqiy holati yomonlashishiga yo‘l qo‘yilmasligi"
Ijtimoiy sheriklik deganda nima tushuniladi?,mehnat kodeksi 3-modda,"Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari
Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari quyidagilardan iborat:
mehnat huquqlarining tengligi, mehnat va mashg‘ulotlar sohasida kamsitishni taqiqlash;
mehnat erkinligi va majburiy mehnatni taqiqlash;
mehnat sohasidagi ijtimoiy sheriklik;
mehnat huquqlari ta’minlanishining va mehnat majburiyatlari bajarilishining kafolatlanganligi;
xodimning huquqiy holati yomonlashishiga yo‘l qo‘yilmasligi"
Mehnat sohasida ijtimoiy sheriklik qanday ahamiyatga ega?,mehnat kodeksi 3-modda,"Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari
Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari quyidagilardan iborat:
mehnat huquqlarining tengligi, mehnat va mashg‘ulotlar sohasida kamsitishni taqiqlash;
mehnat erkinligi va majburiy mehnatni taqiqlash;
mehnat sohasidagi ijtimoiy sheriklik;
mehnat huquqlari ta’minlanishining va mehnat majburiyatlari bajarilishining kafolatlanganligi;
xodimning huquqiy holati yomonlashishiga yo‘l qo‘yilmasligi"
Mehnat huquqlari qanday kafolatlanadi?,mehnat kodeksi 3-modda,"Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari
Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari quyidagilardan iborat:
mehnat huquqlarining tengligi, mehnat va mashg‘ulotlar sohasida kamsitishni taqiqlash;
mehnat erkinligi va majburiy mehnatni taqiqlash;
mehnat sohasidagi ijtimoiy sheriklik;
mehnat huquqlari ta’minlanishining va mehnat majburiyatlari bajarilishining kafolatlanganligi;
xodimning huquqiy holati yomonlashishiga yo‘l qo‘yilmasligi"
Mehnat majburiyatlarini bajarish qanday ta’minlanadi?,mehnat kodeksi 3-modda,"Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari
Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari quyidagilardan iborat:
mehnat huquqlarining tengligi, mehnat va mashg‘ulotlar sohasida kamsitishni taqiqlash;
mehnat erkinligi va majburiy mehnatni taqiqlash;
mehnat sohasidagi ijtimoiy sheriklik;
mehnat huquqlari ta’minlanishining va mehnat majburiyatlari bajarilishining kafolatlanganligi;
xodimning huquqiy holati yomonlashishiga yo‘l qo‘yilmasligi"
Xodimning huquqiy holati qanday himoyalanadi?,mehnat kodeksi 3-modda,"Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari
Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari quyidagilardan iborat:
mehnat huquqlarining tengligi, mehnat va mashg‘ulotlar sohasida kamsitishni taqiqlash;
mehnat erkinligi va majburiy mehnatni taqiqlash;
mehnat sohasidagi ijtimoiy sheriklik;
mehnat huquqlari ta’minlanishining va mehnat majburiyatlari bajarilishining kafolatlanganligi;
xodimning huquqiy holati yomonlashishiga yo‘l qo‘yilmasligi"
Xodimning huquqiy holatini yomonlashtirishga yo‘l qo‘yiladimi?,mehnat kodeksi 3-modda,"Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari
Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari quyidagilardan iborat:
mehnat huquqlarining tengligi, mehnat va mashg‘ulotlar sohasida kamsitishni taqiqlash;
mehnat erkinligi va majburiy mehnatni taqiqlash;
mehnat sohasidagi ijtimoiy sheriklik;
mehnat huquqlari ta’minlanishining va mehnat majburiyatlari bajarilishining kafolatlanganligi;
xodimning huquqiy holati yomonlashishiga yo‘l qo‘yilmasligi"
Huquqiy jihatdan tartibga solish deganda nima tushuniladi?,mehnat kodeksi 3-modda,"Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari
Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari quyidagilardan iborat:
mehnat huquqlarining tengligi, mehnat va mashg‘ulotlar sohasida kamsitishni taqiqlash;
mehnat erkinligi va majburiy mehnatni taqiqlash;
mehnat sohasidagi ijtimoiy sheriklik;
mehnat huquqlari ta’minlanishining va mehnat majburiyatlari bajarilishining kafolatlanganligi;
xodimning huquqiy holati yomonlashishiga yo‘l qo‘yilmasligi"
Yakka tartibdagi mehnat munosabatlari qanday munosabatlar?,mehnat kodeksi 3-modda,"Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari
Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari quyidagilardan iborat:
mehnat huquqlarining tengligi, mehnat va mashg‘ulotlar sohasida kamsitishni taqiqlash;
mehnat erkinligi va majburiy mehnatni taqiqlash;
mehnat sohasidagi ijtimoiy sheriklik;
mehnat huquqlari ta’minlanishining va mehnat majburiyatlari bajarilishining kafolatlanganligi;
xodimning huquqiy holati yomonlashishiga yo‘l qo‘yilmasligi"
Ushbu modda qaysi ijtimoiy munosabatlarga tegishli?,mehnat kodeksi 3-modda,"Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari
Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari quyidagilardan iborat:
mehnat huquqlarining tengligi, mehnat va mashg‘ulotlar sohasida kamsitishni taqiqlash;
mehnat erkinligi va majburiy mehnatni taqiqlash;
mehnat sohasidagi ijtimoiy sheriklik;
mehnat huquqlari ta’minlanishining va mehnat majburiyatlari bajarilishining kafolatlanganligi;
xodimning huquqiy holati yomonlashishiga yo‘l qo‘yilmasligi"
Qanday asosiy prinsiplar 3-moddada ko‘rsatilgan?,mehnat kodeksi 3-modda,"Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari
Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari quyidagilardan iborat:
mehnat huquqlarining tengligi, mehnat va mashg‘ulotlar sohasida kamsitishni taqiqlash;
mehnat erkinligi va majburiy mehnatni taqiqlash;
mehnat sohasidagi ijtimoiy sheriklik;
mehnat huquqlari ta’minlanishining va mehnat majburiyatlari bajarilishining kafolatlanganligi;
xodimning huquqiy holati yomonlashishiga yo‘l qo‘yilmasligi"
Jinsga qarab ishga olishdan bosh tortish qonuniymi?,mehnat kodeksi 4-modda,"Mehnat va mashg‘ulotlar sohasida kamsitish taqiqlanadi. Jinsi, yoshi, irqi, millati, tili, ijtimoiy kelib chiqishi, qarindoshlarida sudlanganlikning mavjudligi, mulkiy holati va mansab mavqeyi, yashash joyi, dinga bo‘lgan munosabati, e’tiqodi, jamoat birlashmalariga mansubligi, shuningdek xodimlarning ishchanlik sifatlari va mehnati natijalari bilan bog‘liq bo‘lmagan boshqa jihatlariga qarab mehnat va mashg‘ulotlar sohasida biror-bir to‘g‘ridan-to‘g‘ri yoki bilvosita cheklovlar belgilash, xuddi shuningdek biror-bir to‘g‘ridan-to‘g‘ri yoki bilvosita imtiyozlar berish kamsitishdir."
Yoshi tufayli ishga olinmaslik kamsitish hisoblanadimi?,mehnat kodeksi 4-modda,"Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari
Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari quyidagilardan iborat:
mehnat huquqlarining tengligi, mehnat va mashg‘ulotlar sohasida kamsitishni taqiqlash;
mehnat erkinligi va majburiy mehnatni taqiqlash;
mehnat sohasidagi ijtimoiy sheriklik;
mehnat huquqlari ta’minlanishining va mehnat majburiyatlari bajarilishining kafolatlanganligi;
xodimning huquqiy holati yomonlashishiga yo‘l qo‘yilmasligi"
Millat yoki irq asosida farq qilish mumkinmi ishda?,mehnat kodeksi 4-modda,"Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari
Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari quyidagilardan iborat:
mehnat huquqlarining tengligi, mehnat va mashg‘ulotlar sohasida kamsitishni taqiqlash;
mehnat erkinligi va majburiy mehnatni taqiqlash;
mehnat sohasidagi ijtimoiy sheriklik;
mehnat huquqlari ta’minlanishining va mehnat majburiyatlari bajarilishining kafolatlanganligi;
xodimning huquqiy holati yomonlashishiga yo‘l qo‘yilmasligi"
Tili sababli biror kishi ishga qabul qilinmasa bu kamsitishmi?,mehnat kodeksi 4-modda,"Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari
Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari quyidagilardan iborat:
mehnat huquqlarining tengligi, mehnat va mashg‘ulotlar sohasida kamsitishni taqiqlash;
mehnat erkinligi va majburiy mehnatni taqiqlash;
mehnat sohasidagi ijtimoiy sheriklik;
mehnat huquqlari ta’minlanishining va mehnat majburiyatlari bajarilishining kafolatlanganligi;
xodimning huquqiy holati yomonlashishiga yo‘l qo‘yilmasligi"
"Sudlangan qarindoshim bo‘lsa, bu ish topishimga ta’sir qilishi mumkinmi?",mehnat kodeksi 4-modda,"Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari
Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari quyidagilardan iborat:
mehnat huquqlarining tengligi, mehnat va mashg‘ulotlar sohasida kamsitishni taqiqlash;
mehnat erkinligi va majburiy mehnatni taqiqlash;
mehnat sohasidagi ijtimoiy sheriklik;
mehnat huquqlari ta’minlanishining va mehnat majburiyatlari bajarilishining kafolatlanganligi;
xodimning huquqiy holati yomonlashishiga yo‘l qo‘yilmasligi"
Dinga bo‘lgan e’tiqod tufayli ish joyida farqlanish mumkinmi?,mehnat kodeksi 4-modda,"Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari
Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bog‘liq bo‘lgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari quyidagilardan iborat:
mehnat huquqlarining tengligi, mehnat va mashg‘ulotlar sohasida kamsitishni taqiqlash;
mehnat erkinligi va majburiy mehnatni taqiqlash;
mehnat sohasidagi ijtimoiy sheriklik;
mehnat huquqlari ta’minlanishining va mehnat majburiyatlari bajarilishining kafolatlanganligi;
xodimning huquqiy holati yomonlashishiga yo‘l qo‘yilmasligi"
